,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
"AneuPing",,,,,,,,,2,,,2,,,2,,2,,2,,,,,,2,,2,,,,,2,,,,,,2,,,,2,,,,,,,,,3,2,,,,,2,,2,,,,,2,,,,,,2
"AtriUndu",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AulaPalu",,7,,,,,,,,,,,,,,2,,,2,,5,,,6,3,2,,3,,,2,5,,,,2,,3,,,,6,,,2,,2,,,,,,,,5,6,,7,,,,5,2,6,,,,2,,
"BrachRiv",,,,,,3,2,,,,2,3,2,3,7,,,,,,,,,,6,,2,,,,,,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,2,,,,,,,2,,5,
"BryumPse",6,3,3,3,7,6,2,3,3,,5,3,6,,,,3,3,,3,6,6,6,7,2,,5,,7,,,3,,,,,3,5,2,3,,3,,,,,,,,,6,5,6,7,,3,5,3,3,3,5,6,6,,6,7,2,2,,5
"CallCord",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,1,,
"CallCusp",7,3,3,3,7,7,7,5,7,8,7,7,7,5,5,,3,3,,5,,3,3,3,5,,3,,5,,,6,3,7,,,7,3,,7,2,7,,,,,,9,,,3,3,6,6,,2,3,3,7,3,5,5,3,6,6,2,3,,,6
"CallGiga",,,,,,,,,,,,,,,,,,,,,,3,,5,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,
"CallStra",,,,,,,,,,,,,,,,,,,2,,,,,,,3,,5,,,3,,3,2,5,2,,,,,,5,3,2,2,2,2,,,,,,,,3,,,,,,,,,6,,,,,,
"CampStel",,3,3,7,5,5,,5,3,2,5,3,5,,,,3,6,,,7,7,6,,2,,8,,5,,,2,,2,,,6,3,3,2,,3,,,,,,,,,3,7,2,2,1,,7,2,7,7,7,3,6,,5,,5,,,
"ChiloPoly",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CirrPili",,,,,,,,,,,2,,,,,,,,,,,,,2,3,,,,,,,2,,,,,2,2,,,2,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,2
"ClimDend",3,3,,,2,,2,,3,,,3,,,,2,,,,3,3,3,6,5,3,,,,6,,,2,,2,,,,5,6,3,2,6,,,,,,,,,,,,2,,7,,5,,,2,5,3,,,,,,5,5
"CratoCom",6,,7,5,7,6,2,8,6,,5,6,3,,7,,5,7,,,,2,1,1,,,6,,,,,,,,,,3,2,3,,,,,,,,,5,,,6,7,8,3,,,5,,5,6,6,,,,7,6,2,,,3
"CratoFil",,,,3,,5,,,,6,2,3,,5,3,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,2,,3,,,,2,,2,,,,2,,2,6,,,,
"DicrBonj",,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,
"DrepAdun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DrepExan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"DrepRevo",,6,7,7,,,,,,,3,,,,,,5,,,,6,7,7,7,,,,,3,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,6,7,,,,,,,
"EuclVert",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EurhHian",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,
"FissAdia",3,,,2,,,,3,2,,,,,,,,2,3,,,,,,,,,3,,,,,2,,,,,5,,5,2,,,,,,,,,,,2,3,,,,,6,,5,3,,,,,2,,,,,3
"HomaNite",,,,,,,,,5,2,3,,,,,,8,6,,,,,,,5,,,,,,,7,,,,,,,,,,3,,,,,,,,,8,,,8,,6,,6,,,,,,,,,,,,
"HyloSple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"HypnPrat",,2,,,,,,,,,,,,,,,,,,5,3,,,5,3,,,2,,,2,3,,,,,,8,,3,3,,,,,,,,,,,,,,,3,,3,,,,5,,,,,,,,
"LophBide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"MarchPol",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pell_sp.",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PellEndi",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
"PellEpip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PhilCalc",,,2,,,2,,,2,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,3,2,3,,2,,,,,,,
"PhilFont",,2,,,,,,,,,,,,,,,,,,,,6,,3,3,,,,2,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,6,,,,,,,,
"Plag_sp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"PlagElat",5,,,1,3,5,7,,7,3,3,5,3,,2,,2,,,3,,2,2,5,3,,3,2,6,,,6,,,,,6,5,7,6,3,2,,,,,,2,,,6,3,,5,,3,2,2,2,2,3,3,5,,5,3,6,,7,6
"PlagUndu",,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3
"PolyComm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,2,,2,,,,,,,8,7,2,2,7,,2,2,,,,,5,,,,,,,,,,,,,3,,
"PolyStri",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RhytSqua",2,2,,,,,,,2,,,,,,,,,,,3,,,,,7,,,2,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,,,,,2,2,,,,3,6,5
"RhytTriq",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"RiccMult",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SclePuru",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,5
